DISTRICT_N,County #,Locale,Labor Force Diff,Employed Diff,Unemployed Level Diff,Unemployed Rate Diff,Median Age 10,Median Age Male 10,Median Age Female 10,# of Households 10,Avg Household Size 10,# of Families 10,Avg Family Size 10,# of Housing Units 10,County Population,CARES ESSER I 20,CRRSA ESSER II 21,ARP ESSER III 21,ESSER-SUPP 22,ESSER-SUPP 23,% County Infected 09/28/20,% County Deaths 09/28/20,% County Infected 10/30/20,% County Deaths 10/30/20,% County Infected 01/29/21,% County Deaths 01/29/21,% County Infected 07/28/2021,% County Deaths 07/28/2021,% County Infected 01/29/2022,% County Deaths 01/29/2022,% County Infected 07/29/2022,% County Deaths 07/29/2022,% County Infected 10/30/2022,% County Deaths 10/30/2022,% On Campus 09/28/20,% On Campus 10/30/20,% On Campus 01/29/21,% White Pop 10,% Black Pop 10,% Asian Pop 10,% Hispanic Pop 10,% Male Pop 10,% Female Pop 10,% Age 0-4 Pop 10,% Age 5-9 Pop 10,% Age 10-14 Pop 10,% Age 15-19 Pop 10,% Age 20-24 Pop 10,% Age 25-34 Pop 10,% Age 35-44 Pop 10,% Age 45-54 Pop 10,% Age 55-64 Pop 10,% Age 65-74 Pop 10,% Age 75-84 Pop 10,% Age 85-Up Pop 10,% HH 1 Male 10,% HH 1 Female 10,% HH Married-Child 10,% HH Married-noChild 10,% HH Male-Child 10,% HH Female-Child 10,% Housing Vacant 10,% Housing Owner Occup 10,% Housing Renter Occup 10,% Free or Reduced Lunch Diff 2019-2021,% Asian or Asian/Pacific Islander Students Diff 2019-2021,% Hispanic Students Diff 2019-2021,% Black or African American Students Diff 2019-2021,% White Students Diff 2019-2021,% Grades 1-8 Diff 2019-2021,% Grades 9-12 Diff 2019-2021,% Prek Diff 2019-2021,% K Diff 2019-2021,% ADA Diff 2019-2021,Total Public Schools Diff 2021-2022,Total Students Diff 2021-2022,% Total Operational Public Schools Diff 2021-2022,% School-wide Title I Diff 2021-2022,% Title I Eligible School Diff 2021-2022,Teachers:Students Diff 2021-2022,Staff:Students Diff 2021-2022,% Free or Reduced Lunch Diff 2021-2022,% Asian or Asian/Pacific Islander Students Diff 2021-2022,% Hispanic Students Diff 2021-2022,% Black or African American Students Diff 2021-2022,% White Students Diff 2021-2022,% Grades 1-8 Diff 2021-2022,% Grades 9-12 Diff 2021-2022,% Prek Diff 2021-2022,% K Diff 2021-2022,% ADA Diff 2021-2022,% Students Tested Math - Grade 3 Diff 2019-2021,% Students Tested Reading - Grade 3 Diff 2019-2021,% Students Tested Math - Grade 4 Diff 2019-2021,% Students Tested Reading - Grade 4 Diff 2019-2021,% Students Tested Math - Grade 5 Diff 2019-2021,% Students Tested Reading - Grade 5 Diff 2019-2021,% Students Tested Math - Grade 6 Diff 2019-2021,% Students Tested Reading - Grade 6 Diff 2019-2021,% Students Tested Math - Grade 7 Diff 2019-2021,% Students Tested Reading - Grade 7 Diff 2019-2021,% Students Tested Math - Grade 8 Diff 2019-2021,% Students Tested Reading - Grade 8 Diff 2019-2021,% Students Tested Math - Grade 3 Diff 2021-2022,% Students Tested Reading - Grade 3 Diff 2021-2022,% Students Tested Math - Grade 4 Diff 2021-2022,% Students Tested Reading - Grade 4 Diff 2021-2022,% Students Tested Math - Grade 5 Diff 2021-2022,% Students Tested Reading - Grade 5 Diff 2021-2022,% Students Tested Math - Grade 6 Diff 2021-2022,% Students Tested Reading - Grade 6 Diff 2021-2022,% Students Tested Math - Grade 7 Diff 2021-2022,% Students Tested Reading - Grade 7 Diff 2021-2022,% Students Tested Math - Grade 8 Diff 2021-2022,% Students Tested Reading - Grade 8 Diff 2021-2022,% Total Operational Public Schools Diff 2019-2022,% School-wide Title I Diff 2019-2022,% Title I Eligible School Diff 2019-2022,Teachers:Students Diff 2019-2022,Staff:Students Diff 2019-2022,% Free or Reduced Lunch Diff 2019-2022,% Asian or Asian/Pacific Islander Students Diff 2019-2022,% Hispanic Students Diff 2019-2022,% Black or African American Students Diff 2019-2022,% White Students Diff 2019-2022,% Grades 1-8 Diff 2019-2022,% Grades 9-12 Diff 2019-2022,% Prek Diff 2019-2022,% K Diff 2019-2022,% ADA Diff 2019-2022,% Students Tested Math - Grade 3 Diff 2019-2022,% Students Tested Reading - Grade 3 Diff 2019-2022,% Students Tested Math - Grade 4 Diff 2019-2022,% Students Tested Reading - Grade 4 Diff 2019-2022,% Students Tested Math - Grade 5 Diff 2019-2022,% Students Tested Reading - Grade 5 Diff 2019-2022,% Students Tested Math - Grade 6 Diff 2019-2022,% Students Tested Reading - Grade 6 Diff 2019-2022,% Students Tested Math - Grade 7 Diff 2019-2022,% Students Tested Reading - Grade 7 Diff 2019-2022,% Students Tested Math - Grade 8 Diff 2019-2022,% Students Tested Reading - Grade 8 Diff 2019-2022,AVG_Math_2022,AVG_Reading_2022,AVG_Math_2019,AVG_Reading_2019,AVG_Math_2021,AVG_Reading_2021,Label_Math (19-22),Label_Reading (19-22),Label_All (19-22),Label_Math (19-21),Label_Reading (19-21),Label_All (19-21),Label_Math (21-22),Label_Reading (21-22),Label_All (21-22)
57816,48113,11-City: Large,-0.117686561,-0.046919492,-0.913279097,-0.375,34.43415219,33.43013781,35.30868784,855960,2.813067705,559417,3.368615938,943257,2635516,504727,1716028,3855200,0,0,0.03080042,0.000450766,0.036198604,0.000516787,0.096255913,0.0012434,0.119282903,0.001601963,0.205160583,0.002296325,0.235790638,0.00258659,0.251634595,0.002637434,0.414743112,0.402315485,0.384672071,0.535382847,0.22304434,0.050355997,0.382553558,0.494481954,0.505518046,0.081430186,0.077491651,0.07322332,0.071445553,0.07245394,0.16259223,0.144833981,0.134233252,0.094475029,0.049294404,0.027628868,0.010897587,0.130354222,0.149852797,0.234084537,0.202010608,0.032558764,0.110048367,0.092548478,0.483156764,0.424294757,0.505725825,3.520607375,-0.119582084,0.00174744,-0.354198946,0.150843377,0,-0.389386824,0.528498825,-0.024265496,0,-0.228488792,0,0,0,0.196232303,0.102116908,-0.995079129,18.44236176,23.65191767,-0.998001299,294.5238988,,,-0.354118152,-0.070679564,0.112213014,-0.794438265,-0.768743048,-0.579012346,-0.588580247,-0.674849268,-0.674849268,-0.756136951,-0.769927827,-0.579775281,-0.579775281,-0.725,-0.705357143,4.107954545,3.592592593,1.336254107,1.390585598,2.485866667,2.485866667,3.534545455,3.773205742,1.571723426,1.571723426,2.775510204,2.523809524,0,0,0,0.197396251,-0.841386463,-0.992590517,86.89128397,20.70398998,-0.997997807,189.8496452,,,-0.605616033,0.420465196,0.085224613,0.05,0.062068966,-0.016465863,-0.016465863,0.133432099,0.133432099,0.105808081,0.098181818,0.080701754,0.080701754,0.038265306,0.038265306,0.815264172,0.876328755,0.836181687,0.879525772,0.811144693,0.882282371,-1,0,-1,0,0,0,-1,-1,-1
57829,48113,11-City: Large,-0.117686561,-0.046919492,-0.913279097,-0.375,34.43415219,33.43013781,35.30868784,855960,2.813067705,559417,3.368615938,943257,2635516,486940,2191417,4923202,0,0,0.03080042,0.000450766,0.036198604,0.000516787,0.096255913,0.0012434,0.119282903,0.001601963,0.205160583,0.002296325,0.235790638,0.00258659,0.251634595,0.002637434,0.363013699,0.551510989,0.594202899,0.535382847,0.22304434,0.050355997,0.382553558,0.494481954,0.505518046,0.081430186,0.077491651,0.07322332,0.071445553,0.07245394,0.16259223,0.144833981,0.134233252,0.094475029,0.049294404,0.027628868,0.010897587,0.130354222,0.149852797,0.234084537,0.202010608,0.032558764,0.110048367,0.092548478,0.483156764,0.424294757,-0.03609014,-0.170525903,0.038251081,-0.17835113,-0.539936498,-0.03687201,0.090979481,0.078951939,-0.085064935,-0.042930608,0,0.065247253,0,0,0,-0.167386981,-0.055311861,-0.995547435,226.6466796,-0.965028335,-0.374167204,27.90700104,-0.524471505,-0.681818182,-0.10963994,-0.043197937,0.013507984,0.105404799,0.128434066,0.02970297,0.02970297,-0.021972407,-0.013317295,0.072509458,0.072509458,-0.014904075,-0.014904075,-0.080645161,-0.080645161,-0.010752688,-0.010752688,-0.041666667,-0.041666667,0.085638999,0.074330259,-0.043587805,-0.043587805,0.029657477,0.029657477,-0.170836928,0.007477711,0,0,0,-0.135727529,-0.850667594,-0.995708128,187.827024,-0.963690631,-0.48578519,12.29905614,-0.542005196,-0.652870165,-0.039344287,-0.124588242,-0.03000253,0.093518726,0.116300366,-0.01320132,-0.01320132,0.061784897,0.060023086,0.025761124,0.025761124,0.014311385,0.014311385,-0.237704918,-0.073770492,0.819227667,0.858440916,0.848756015,0.866372715,0.804116341,0.86039578,-1,-1,-1,-1,0,-1,0,0,0
101871,48201,11-City: Large,-0.034466243,0.365596834,-0.83556192,-0.4,34.16996269,33.29347015,34.97966418,1435155,2.860648321,985652,3.387434701,1598698,4713325,43143,200027,449378,0,0,0.029990081,0.000583877,0.034155082,0.000621005,0.065538023,0.001012449,0.087856874,0.001438263,0.201122138,0.002164077,0.244519103,0.002357359,0.258971321,0.002408915,0.151315789,0.379084967,0.467105263,0.566470183,0.189492919,0.061828842,0.408443921,0.497843717,0.502156283,0.082178954,0.078275433,0.074908509,0.073470742,0.072693459,0.161660752,0.143747805,0.134039217,0.097536958,0.047771279,0.024752111,0.008964781,0.123569231,0.128590292,0.259571266,0.21424097,0.033779627,0.104786591,0.10229762,0.509670995,0.388031386,-0.020928305,,0.486068111,-0.225708502,-0.127423823,0,0,0,0,0.057355662,0,-0.046052632,0,0,0,0.34713309,0.290896653,-0.970049261,15.51034483,0.081034483,-0.830425963,9.857142857,,0,0,0,-0.004719062,0,0,0,0,0,0,0.252811329,0.252811329,0.285858586,0.257905138,-0.003389831,-0.003389831,0,0,0,0,0,0,0.113636364,0.113636364,0.073684211,0.073684211,-0.278532609,-0.038043478,0,0,0,0.437216203,-0.846238532,-0.970676079,,0.606490872,-0.868700265,8.473684211,,0,0,0,0.052365936,0,0,0,0,0,0,0.395176252,0.395176252,0.380606061,0.350592885,-0.280978261,-0.041304348,0.403566107,0.45459017,0.419713702,0.445924035,0.404388627,0.450576882,-1,1,0,0,1,0,-1,1,0
109901,48217,42-Rural: Distant,-0.036856497,-0.019837297,-0.359857482,-0.34,41.24166667,40.2,42.25,13238,2.605416667,9524,3.090833333,16118,36649,24677,89211,200420,0,0,0.017735818,0.000382002,0.023274851,0.000436574,0.067969112,0.002264728,0.126988458,0.003028732,0.228573767,0.005020601,0.255477639,0.005320745,0.266855849,0.005429889,0.923611111,0.967391304,0.98540146,0.835219015,0.063381687,0.003362877,0.183162815,0.4904101,0.5095899,0.065291117,0.067571034,0.070363932,0.067086551,0.056826926,0.105560147,0.114223831,0.13670951,0.133460629,0.101598792,0.058679358,0.022628174,0.110213023,0.130759934,0.220803747,0.336304578,0.02704336,0.073651609,0.178682219,0.620362328,0.200955454,0.126485923,0,0.235604217,1.02189781,-0.045699094,0.123276561,-0.1453834,-0.10798626,-0.095466769,0.018609221,0,0.032846715,0,0,0,-0.092290408,-0.033426613,-1,,-0.911982011,55.63957597,-0.266114849,-0.503798587,-0.822890632,0.290930506,0.082103513,-0.012104665,-0.05,-0.05,0.05,0.05,0,0,-0.076388889,-0.076388889,-0.0625,-0.0625,-0.1,-0.1,0,0,-0.095238095,-0.095238095,0,0,0.246753247,0.246753247,0.066666667,0.066666667,0,0,0,0,0,-0.049051765,-0.405,-1,,-0.891244601,113.5194346,-0.299652735,-0.442628583,-0.848639394,0.151527749,-0.021201413,0.006279297,-0.05,-0.05,-0.05,-0.05,0,0,0.151515152,0.151515152,0,0,-0.1,-0.1,0.89935701,0.942014093,0.91976916,0.937297069,0.897280445,0.939042768,-1,0,0,0,0,0,-1,0,0
95901,48189,31-Town: Fringe,0.010574906,0.027968904,-0.258287293,-0.262295082,33.22333333,32.32,34.27333333,11846,2.850666667,8781,3.319,13541,33406,148782,547022,1228930,0,0,0.055828294,0.001676346,0.08016524,0.002155301,0.174369874,0.004460277,0.187930312,0.004699755,0.187750703,0.006585643,0.213434712,0.007363947,0.232173861,0.007423816,0.937733499,0.924223602,0.989333333,0.707688915,0.053069776,0.003914758,0.558790285,0.516555013,0.483444987,0.083147245,0.080721198,0.078984369,0.07810217,0.07917735,0.132054145,0.122763488,0.128056681,0.094726105,0.062057178,0.043531001,0.016679073,0.101806517,0.120462603,0.266503461,0.272159379,0.039591423,0.108053351,0.125175393,0.56480319,0.310021416,-0.058922559,-0.037037037,-0.03022362,0.497942387,0.032574743,-0.041316872,0.019607843,0.274509804,0.079182631,0.009027777,0,0.018518519,0.333333333,0,0,-0.02616628,0.002514647,-0.997463002,422.1636364,-0.96780924,24.80779221,0.25485189,-0.441152597,-0.844155844,0.636363636,-0.063496503,-0.014195604,0.020833333,0.020833333,0.019917582,0.019917582,0.009265859,0.009265859,0.022235577,0.022235577,0.070175439,0.070175439,0.113415858,0.032786885,-0.003222342,-0.003222342,0.080519481,0.080519481,0.033898305,0.033898305,0.027160494,0.027160494,0,0,-0.069628647,-0.0651341,0.333333333,0,0,0.000513369,-0.700683962,-0.997612489,406.4909091,-0.968782161,37.65858586,0.295728368,-0.464242424,-0.841100076,1.085561497,0.010658307,-0.005295982,0.01754386,0.01754386,0.102040816,0.102040816,0.043478261,0.043478261,0.05,0.05,0.070175439,0.070175439,0.035890218,-0.034482759,0.878020969,0.917182599,0.87463157,0.908640979,0.86391225,0.916660194,1,0,1,1,0,1,0,0,0
221901,48441,12-City: Mid-size,-0.017404898,-0.002194689,-0.352175403,-0.325581395,34.875,33.53017241,36.17241379,50725,2.466724138,33446,2.973706897,55750,138034,3970117,18732848,42084907,0,0,0.010758219,0.000420186,0.015916368,0.000579567,0.102974629,0.002455917,0.118152049,0.003020995,0.20789081,0.004708985,0.248728574,0.005295797,0.271606995,0.00541171,0.825229709,0.843789447,0.867407985,0.793948565,0.073753289,0.015763539,0.22108497,0.486882728,0.513117272,0.074931942,0.067495019,0.063738537,0.077684668,0.102786185,0.137963287,0.109652792,0.129994069,0.103789941,0.067799188,0.046020714,0.018143659,0.123844258,0.149748645,0.211394776,0.27377033,0.027560375,0.090901922,0.090134529,0.555766816,0.354098655,-0.013556615,-0.256562221,0.044335404,-0.027114033,-0.026397252,-0.023935716,0.074716852,-0.047168905,-0.036164993,0.005036515,-0.033333333,-0.01619898,0,-0.014778325,-0.014778325,-0.012567537,-0.004935632,-0.982163904,34.19023826,-0.728501475,1.628892022,0.663816458,-0.517415241,-0.774823509,0.340506788,0.029564492,-0.016218917,0.014390974,0.018612467,-0.053306236,-0.055969719,-0.017326866,-0.017801396,-0.026704409,-0.024006674,-0.032210135,-0.03644497,-0.061705131,-0.04654329,0.00337009,0.006062748,0.065283512,0.072492288,0.014790682,0.017532865,0.012116487,0.012112729,0.026394407,0.029043433,0.055429674,0.040424178,0.033333333,0.018062397,0.018062397,0.066913588,-0.749866385,-0.982405701,25.16175258,-0.716464478,1.557612158,0.619896276,-0.528966253,-0.757999031,0.277276551,-0.0076697,-0.011264089,0.017809562,0.024788058,0.008497258,0.012465196,-0.002792461,-0.00058064,-0.014911486,-0.012184731,-0.006665895,-0.008460024,-0.009695753,-0.008000587,0.835574716,0.88075776,0.853670172,0.89084324,0.825778932,0.883578226,0,-1,-1,0,0,0,0,0,0
57814,48113,11-City: Large,-0.117686561,-0.046919492,-0.913279097,-0.375,34.43415219,33.43013781,35.30868784,855960,2.813067705,559417,3.368615938,943257,2635516,319147,1353483,3040713,0,0,0.03080042,0.000450766,0.036198604,0.000516787,0.096255913,0.0012434,0.119282903,0.001601963,0.205160583,0.002296325,0.235790638,0.00258659,0.251634595,0.002637434,0.027210884,0.392523364,0.35483871,0.535382847,0.22304434,0.050355997,0.382553558,0.494481954,0.505518046,0.081430186,0.077491651,0.07322332,0.071445553,0.07245394,0.16259223,0.144833981,0.134233252,0.094475029,0.049294404,0.027628868,0.010897587,0.130354222,0.149852797,0.234084537,0.202010608,0.032558764,0.110048367,0.092548478,0.483156764,0.424294757,0,0.63961039,-0.135602891,0.127232143,0.04752886,-0.352089443,0.11459079,0,0,-0.135917137,0,-0.035714286,0,0,0,-0.055555556,-0.061208577,-0.993265993,132.7777778,0.16872428,-0.885521886,0.893719807,4.396825397,,0,0,0.307051845,0,0,0,0,-0.666666667,-0.666666667,0.851851852,1.083333333,0.031007752,0.055555556,0.153316419,0.127968805,0,0,0,0,0.5,0.5,-0.25,-0.1,0.5,0.357142857,0.174849268,0.201550388,0,0,0,0.577823357,-0.71043771,-0.993265993,218.3434343,0.010241889,-0.87095659,0.98372615,2.49666015,,0,0,0.1294011,0,0,0,0,-0.5,-0.5,0.388888889,0.875,0.546511628,0.432539683,0.35497295,0.355311355,0.37944209,0.405265821,0.382478837,0.398987264,0.387477816,0.41849837,0,1,0,1,1,1,-1,-1,-1
14901,48027,41-Rural: Fringe,-0.036854521,-0.017553953,-0.353760775,-0.315789474,32.22578947,31.38368421,33.09052632,114035,2.555631579,80449,3.063578947,125470,362924,87745,365709,821596,270526,270527,0.015080292,0.000253497,0.018003769,0.000286561,0.050021492,0.000876217,0.07310897,0.001306059,0.164987711,0.002157476,0.205073238,0.002523944,0.221790237,0.002565275,0.818753573,0.896931094,0.972254335,0.614221477,0.214998308,0.028197979,0.21599755,0.494670169,0.505329831,0.09143069,0.078930488,0.071661805,0.071287895,0.096704111,0.170316051,0.125720825,0.120224991,0.086682676,0.048453592,0.027646784,0.010940094,0.117332398,0.122181786,0.259297584,0.25175604,0.030069715,0.114412242,0.091137324,0.505491353,0.403371324,-0.29323916,-0.170490537,0.059868675,-0.005339332,-0.013370256,0.005730374,0.035823355,-0.349154114,-0.035396147,0.028108769,0,0.019119351,0,0,0,0.00454095,-0.016839582,-0.963791906,30.02225915,-0.727155387,9.377068875,-0.071404107,-0.548593426,-0.907316202,3.098117246,0.064910912,-0.043224809,-0.023715415,-0.023715415,0.026762738,0.019042717,0.018024691,0.018024691,-0.021966038,-0.021966038,-0.0846553,0.064788732,-0.060333761,0.032786885,0.023135643,0.023135643,-0.015731637,-0.008275058,-0.03987808,-0.03987808,0.006849315,0.006849315,0.037782681,-0.027214715,0.090163934,0.007092199,0,0,0,0.065660306,-0.606326531,-0.974409537,24.73325753,-0.710820542,9.321662264,-0.083819672,-0.546006698,-0.903995957,1.667242752,0.027217169,-0.016331037,-0.001128443,-0.001128443,0.01061008,0.01061008,-0.022572178,-0.022572178,-0.015267176,-0.015267176,-0.050071124,0.035810811,0.024390244,0.040111615,0.871602352,0.916080395,0.88206804,0.915272358,0.857518871,0.909741555,0,0,0,0,0,0,0,0,0
101810,48201,11-City: Large,-0.034466243,0.365596834,-0.83556192,-0.4,34.16996269,33.29347015,34.97966418,1435155,2.860648321,985652,3.387434701,1598698,4713325,308141,1420655,3191620,0,0,0.029990081,0.000583877,0.034155082,0.000621005,0.065538023,0.001012449,0.087856874,0.001438263,0.201122138,0.002164077,0.244519103,0.002357359,0.258971321,0.002408915,0.17386231,0.401408451,0.533568905,0.566470183,0.189492919,0.061828842,0.408443921,0.497843717,0.502156283,0.082178954,0.078275433,0.074908509,0.073470742,0.072693459,0.161660752,0.143747805,0.134039217,0.097536958,0.047771279,0.024752111,0.008964781,0.123569231,0.128590292,0.259571266,0.21424097,0.033779627,0.104786591,0.10229762,0.509670995,0.388031386,0.002215599,0.030445465,0.054602429,-0.069956913,-0.128084606,0.119202323,0,-0.203650607,-0.225799263,0.032198756,0,,0,0,0,,,,,,,,,0,,,,0.000701754,0.000701754,0.031914894,0.031914894,-0.055589681,-0.055589681,,,,,0,0,,,,,,,,,,,0,0,0,0,0,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0.832265823,0.886521529,0.438002372,0.444159764,0.673767998,0.729583166,1,1,1,1,1,1,1,1,1
57810,48113,11-City: Large,-0.117686561,-0.046919492,-0.913279097,-0.375,34.43415219,33.43013781,35.30868784,855960,2.813067705,559417,3.368615938,943257,2635516,180574,650831,1462146,0,0,0.03080042,0.000450766,0.036198604,0.000516787,0.096255913,0.0012434,0.119282903,0.001601963,0.205160583,0.002296325,0.235790638,0.00258659,0.251634595,0.002637434,0,0.434017595,0.547987616,0.535382847,0.22304434,0.050355997,0.382553558,0.494481954,0.505518046,0.081430186,0.077491651,0.07322332,0.071445553,0.07245394,0.16259223,0.144833981,0.134233252,0.094475029,0.049294404,0.027628868,0.010897587,0.130354222,0.149852797,0.234084537,0.202010608,0.032558764,0.110048367,0.092548478,0.483156764,0.424294757,-0.002653838,0,-0.081014918,0.01128636,-1,0.111326854,0,-0.26688172,0.168488403,0.104752827,0,-0.281524927,0,0,0,0.116017373,0.26025776,-1,,2.630060673,-1,,,,-0.493877551,0.00521542,-0.089830724,-0.003952569,-0.003952569,-0.073684211,-0.073684211,0.172413793,0.172413793,-0.102040816,-0.102040816,0.118951613,0.118951613,-0.103030303,-0.127946128,0.047619048,0.047619048,0.11328125,0.11328125,-0.133333333,-0.133333333,0.375,0.375,0.013333333,0.013333333,0.083333333,0.114285714,0,0,0,0.286021765,-0.853374486,-1,,2.335971606,-1,313.0653061,,,-0.628952381,0.17458256,0.005512081,0.043478261,0.043478261,0.03125,0.03125,0.016091954,0.016091954,0.234693878,0.234693878,0.133870968,0.133870968,-0.028282828,-0.028282828,0.796764283,0.851262476,0.8426207,0.885537462,0.765497542,0.842720886,-1,-1,-1,-1,-1,-1,1,1,1
101849,48201,11-City: Large,-0.034466243,0.365596834,-0.83556192,-0.4,34.16996269,33.29347015,34.97966418,1435155,2.860648321,985652,3.387434701,1598698,4713325,187211,711387,1598189,0,0,0.029990081,0.000583877,0.034155082,0.000621005,0.065538023,0.001012449,0.087856874,0.001438263,0.201122138,0.002164077,0.244519103,0.002357359,0.258971321,0.002408915,0,0.364806867,0.434599156,0.566470183,0.189492919,0.061828842,0.408443921,0.497843717,0.502156283,0.082178954,0.078275433,0.074908509,0.073470742,0.072693459,0.161660752,0.143747805,0.134039217,0.097536958,0.047771279,0.024752111,0.008964781,0.123569231,0.128590292,0.259571266,0.21424097,0.033779627,0.104786591,0.10229762,0.509670995,0.388031386,0.002553191,-0.736170213,0.064826529,-0.02712766,-0.296453901,0.126066801,0,-0.472340426,-0.036447734,-0.021682636,0,-0.089361702,0.5,0,0,-0.120176691,-0.074193009,-1,115.4018692,0.019692924,-0.972081419,94.53738318,,,-0.283827712,0.30729862,0.023271943,-0.207450694,-0.207450694,-0.105492589,-0.105492589,-0.413793103,-0.413793103,-0.087719298,-0.087719298,,,0,0,0.133870968,0.133870968,0.043771044,0.043771044,0.774117647,0.774117647,0.1875,0.1875,0.625,0.625,0,0,0.5,0,0,-0.267466798,-0.920348259,-1,29.71028037,0.085796076,-0.972838785,66.21495327,,,-0.622104835,0.259650549,0.00108471,-0.101351351,-0.101351351,-0.066339066,-0.066339066,0.04,0.04,0.083333333,0.083333333,,,0,0,0.73025752,0.760192677,0.600223414,0.615725281,0.689958476,0.75011259,1,1,1,1,1,1,1,1,1
180903,48359,43-Rural: Remote,-0.018538713,-0.012429379,-0.1875,-0.171428571,34.8,28.65,38.15,691,2.565,516,2.965,841,2112,11258,61882,139023,0,0,0.008049242,0.000473485,0.012784091,0.00094697,0.089015152,0.001893939,0.138257576,0.001893939,0.241003788,0.002840909,0.277935606,0.002840909,0.291193182,0.002840909,1,0.983606557,1,0.901559454,0.030214425,0.0082846,0.118421053,0.504385965,0.495614035,0.048732943,0.07748538,0.121345029,0.121832359,0.028265107,0.107699805,0.107212476,0.140350877,0.122807018,0.072612086,0.039473684,0.012183236,0.081041968,0.134587554,0.253256151,0.382054993,0.015918958,0.054992764,0.178359096,0.563614744,0.258026159,0.020491803,0,-0.082679971,0,0.13338301,0.033939549,-0.104918033,-0.520491803,1.157786885,0.101232159,0,-0.073770492,0,0,0,0.145478092,0.079646018,-1,,-1,,0.349557522,-0.374118251,-0.922882427,1.699115044,-0.040314651,-0.093863907,-0.2,-0.2,-0.166666667,-0.166666667,-0.111111111,-0.111111111,-0.318181818,-0.318181818,-0.111111111,-0.111111111,-0.133333333,-0.133333333,0.607142857,0.607142857,0.2,0.2,0.125,0.125,0.466666667,0.466666667,0.125,0.125,0.153846154,0.153846154,0,0,0,0.042243838,-0.548888889,-1,,-1,,0.529565567,-0.352876106,-0.930973451,0.294247788,1.07079646,-0.002133794,0.285714286,0.285714286,0,0,0,0,0,0,0,0,0,0,0.853594761,0.916014946,0.85101581,0.898083706,0.701307335,0.773412215,1,1,1,-1,-1,-1,1,1,1
57806,48113,21-Suburb: Large,-0.117686561,-0.046919492,-0.913279097,-0.375,34.43415219,33.43013781,35.30868784,855960,2.813067705,559417,3.368615938,943257,2635516,396824,1437759,3230046,0,0,0.03080042,0.000450766,0.036198604,0.000516787,0.096255913,0.0012434,0.119282903,0.001601963,0.205160583,0.002296325,0.235790638,0.00258659,0.251634595,0.002637434,0.338345865,0.390728477,0.629535865,0.535382847,0.22304434,0.050355997,0.382553558,0.494481954,0.505518046,0.081430186,0.077491651,0.07322332,0.071445553,0.07245394,0.16259223,0.144833981,0.134233252,0.094475029,0.049294404,0.027628868,0.010897587,0.130354222,0.149852797,0.234084537,0.202010608,0.032558764,0.110048367,0.092548478,0.483156764,0.424294757,0.057300897,-0.274417748,0.015147472,0.198084209,-0.368231728,0.052534393,0.265358106,-0.522341629,-0.013416938,0.055127641,0,-0.057166529,0,0,0,0.131526637,0.040261283,-0.984894346,45.89511675,-0.399437968,-0.72440253,6.820927024,-0.803269743,-0.482161687,0.568541301,0.071455471,-0.030249611,-0.096885813,-0.121972318,-0.021887825,-0.047970816,-0.149664341,-0.139660392,-0.076923077,-0.115384615,0.096073517,0.051517683,-0.101817735,-0.109365485,0.143663194,0.176339286,0.004219409,0.03173227,0.194268477,0.180381634,0.145061728,0.194847021,0.042682927,0.086864407,0.20693252,0.20693252,0,0,0,0.022979966,-0.869565667,-0.984028779,33.0262644,-0.390340971,-0.669811023,3.941013548,-0.792934639,-0.344749093,-0.250773117,0.057079819,0.02321044,0.032858456,0.032858456,-0.017760769,-0.017760769,0.015529072,0.015529072,0.056980057,0.056980057,0.142857143,0.142857143,0.084045385,0.074935759,0.79337535,0.854127488,0.824477852,0.870802291,0.788765726,0.854885516,-1,-1,-1,-1,-1,-1,-1,0,0
